"PLATZ_ID","BEREICH","REGAL","FACH","EBENE","PLATZ_TYP","PLATZ_ART","KAPA","IST_LHM","FREI_LHM","ABC_KLASSE","ZUSTAND"
"031000203","03","10","002","03","P","R","1","0","1","C",""
"030902804","03","09","028","04","P","R","1","0","1","B",""
"030903501","03","09","035","01","P","DK","1","0","1","B",""
"031903803","03","19","038","03","P","R","1","1","0","C",""
"032007006","03","20","070","06","P","R","1","0","1","B",""
"032104705","03","21","047","05","P","R","1","0","1","B",""
"032808201","03","28","082","01","P","R","1","1","0","A","150.0"
"032304200","03","23","042","00","P","K","1","1","0","B",""
"031406000","03","14","060","00","P","DK","1","1","0","C",""
"030903800","03","09","038","00","P","DK","1","1","0","B",""
"032305300","03","23","053","00","P","K","1","1","0","B",""
"031906104","03","19","061","04","P","R","1","0","1","C",""
"031905701","03","19","057","01","P","R","1","1","0","C",""
"031005000","03","10","050","00","P","DK","1","1","0","A",""
"030901302","03","09","013","02","P","R","1","0","1","C",""
"031606400","03","16","064","00","P","DK","1","1","0","C",""
"032703700","03","27","037","00","P","K","1","1","0","A",""
"032704003","03","27","040","03","P","R","1","0","1","A",""
"032306004","03","23","060","04","P","R","1","1","0","B",""
"032103100","03","21","031","00","P","K","1","1","0","B",""
"032703800","03","27","038","00","P","K","1","1","0","A",""
"032704001","03","27","040","01","P","R","1","1","0","A",""
"031102300","03","11","023","00","P","DK","1","2","0","B",""
"030901603","03","09","016","03","P","R","1","0","1","C",""
"031804300","03","18","043","00","P","DK","1","1","0","C",""
"032205500","03","22","055","00","P","K","1","1","0","B",""
"031205101","03","12","051","01","P","DK","1","0","1","C",""
"032105500","03","21","055","00","P","K","1","1","0","B",""
"032804700","03","28","047","00","P","K","1","1","0","A",""
"032805302","03","28","053","02","P","R","1","0","1","A",""
"032904804","03","29","048","04","P","R","1","0","1","A",""
"030704800","03","07","048","00","P","DK","1","2","0","B",""
"030704902","03","07","049","02","P","R","1","0","1","B",""
"032104500","03","21","045","00","P","K","1","1","0","B",""
"031000202","03","10","002","02","P","R","1","0","1","C",""
"031000303","03","10","003","03","P","R","1","0","1","C",""
"031205901","03","12","059","01","P","DK","1","0","1","C",""
"031906301","03","19","063","01","P","R","1","1","0","C",""
"030801200","03","08","012","00","P","K","1","0","1","C",""
"031906804","03","19","068","04","P","R","1","1","0","C",""
"030303102","03","03","031","02","P","R","1","0","1","A","150.0"
"030400100","03","04","001","00","P","K","1","0","1","C","150.0"
"030503204","03","05","032","04","P","R","1","0","1","C","150.0"
"030302000","03","03","020","00","P","K","1","2","0","C","150.0"
"030302003","03","03","020","03","P","R","1","0","1","A","150.0"
"032204000","03","22","040","00","P","K","1","1","0","B",""
"031906004","03","19","060","04","P","R","1","1","0","C",""
"032508600","03","25","086","00","P","K","2","1","1","A","150.0"
"032506800","03","25","068","00","P","K","2","1","1","A",""
"031905901","03","19","059","01","P","R","1","1","0","C",""
"030301801","03","03","018","01","P","K","1","0","1","C","150.0"
"030401803","03","04","018","03","P","R","1","0","1","C","150.0"
"032802606","03","28","026","06","P","R","1","0","1","A",""
"034507100","03","45","071","00","P","K","1","0","1","B","150.0"
"031906800","03","19","068","00","P","K","1","1","0","C",""
"031904901","03","19","049","01","P","R","1","1","0","C",""
"032700500","03","27","005","00","P","K","1","0","1","A",""
"031903400","03","19","034","00","P","K","1","1","0","C",""
"034505004","03","45","050","04","P","R","1","0","1","A","150.0"
"030500800","03","05","008","00","P","K","1","0","1","C","150.0"
"030500805","03","05","008","05","P","R","1","0","1","C","150.0"
"032801900","03","28","019","00","P","K","1","1","0","A",""
"032902200","03","29","022","00","P","K","1","0","1","A",""
"031900900","03","19","009","00","P","K","1","0","1","C",""
"031901000","03","19","010","00","P","K","1","1","0","C",""
"030703400","03","07","034","00","P","DK","1","0","1","B",""
"031905904","03","19","059","04","P","R","1","1","0","C",""
"031905903","03","19","059","03","P","R","1","1","0","C",""
"030401501","03","04","015","01","P","K","1","0","1","C","150.0"
"031902400","03","19","024","00","P","K","1","1","0","C",""
"032300701","03","23","007","01","P","R","1","1","0","B",""
"032801500","03","28","015","00","P","K","1","0","1","A",""
"031902500","03","19","025","00","P","K","1","1","0","C",""
"032802300","03","28","023","00","P","K","1","1","0","A",""
"032703003","03","27","030","03","P","R","1","0","1","A",""
"030503200","03","05","032","00","P","K","1","2","0","C","150.0"
"031903500","03","19","035","00","P","K","1","1","0","C",""
"032507201","03","25","072","01","P","R","1","1","0","A",""
"032900900","03","29","009","00","P","K","1","0","1","A",""
"031903800","03","19","038","00","P","K","1","1","0","C",""
"031905401","03","19","054","01","P","R","1","1","0","C",""
"031905803","03","19","058","03","P","R","1","1","0","C",""
"031003500","03","10","035","00","P","DK","1","0","1","B",""
"032005601","03","20","056","01","P","R","1","1","0","B","150.0"
"034506500","03","45","065","00","P","K","1","0","1","B","150.0"
"032805901","03","28","059","01","P","R","1","1","0","A",""
"030902600","03","09","026","00","P","DK","1","1","0","B",""
"031204600","03","12","046","00","P","DK","1","1","0","C",""
"030605505","03","06","055","05","P","R","1","0","1","B",""
"030801900","03","08","019","00","P","K","1","0","1","C",""
"031005100","03","10","051","00","P","DK","1","2","0","A",""
"031904000","03","19","040","00","P","K","1","1","0","C",""
"032701900","03","27","019","00","P","K","1","0","1","A",""
"032701902","03","27","019","02","P","R","1","0","1","A",""
"031304301","03","13","043","01","P","R","1","0","1","C",""
"032305904","03","23","059","04","P","R","1","1","0","B",""
"034506700","03","45","067","00","P","K","1","0","1","B","150.0"
"032206600","03","22","066","00","P","K","1","1","0","B",""
"032005600","03","20","056","00","P","K","1","1","0","B","150.0"
"030605100","03","06","051","00","P","DK","1","1","0","B",""
"031904401","03","19","044","01","P","R","1","1","0","C",""
"031405301","03","14","053","01","P","R","1","0","1","C",""
"031906701","03","19","067","01","P","R","1","1","0","C",""
