PLATZ_ID,REGAL,FACH,EBENE,UTILIZATION,HEATMAP_COLOR
031906701,19,67,1,100.0,RED
032005800,20,58,0,100.0,RED
031606100,16,61,0,100.0,RED
032107000,21,70,0,100.0,RED
031606502,16,65,2,100.0,RED
034505505,45,55,5,0.0,GREEN
034705405,47,54,5,100.0,RED
032106300,21,63,0,100.0,RED
032105400,21,54,0,100.0,RED
032305104,23,51,4,0.0,GREEN
032005700,20,57,0,100.0,RED
032105002,21,50,2,0.0,GREEN
032106600,21,66,0,100.0,RED
031502400,15,24,0,100.0,RED
031502600,15,26,0,100.0,RED
034805305,48,53,5,100.0,RED
032105900,21,59,0,100.0,RED
034504701,45,47,1,0.0,GREEN
031603500,16,35,0,100.0,RED
031603600,16,36,0,100.0,RED
032501201,25,12,1,100.0,RED
032800900,28,9,0,100.0,RED
031906703,19,67,3,100.0,RED
031902906,19,29,6,0.0,GREEN
034504702,45,47,2,0.0,GREEN
032203700,22,37,0,100.0,RED
031606000,16,60,0,100.0,RED
030906902,09,69,2,0.0,GREEN
030901100,09,11,0,100.0,RED
030903901,09,39,1,0.0,GREEN
032104100,21,41,0,100.0,RED
032605601,26,56,1,100.0,RED
032903900,29,39,0,100.0,RED
032907600,29,76,0,50.0,YELLOW
031506000,15,60,0,100.0,RED
032204700,22,47,0,100.0,RED
034504703,45,47,3,0.0,GREEN
031905502,19,55,2,100.0,RED
032904200,29,42,0,100.0,RED
032204900,22,49,0,100.0,RED
032501600,25,16,0,0.0,GREEN
034504704,45,47,4,0.0,GREEN
032705402,27,54,2,100.0,RED
034504801,45,48,1,0.0,GREEN
032501500,25,15,0,0.0,GREEN
032205400,22,54,0,100.0,RED
034504803,45,48,3,0.0,GREEN
034100303,41,3,3,0.0,GREEN
032306400,23,64,0,100.0,RED
031803400,18,34,0,100.0,RED
032006100,20,61,0,100.0,RED
032203200,22,32,0,100.0,RED
032204003,22,40,3,100.0,RED
031704400,17,44,0,100.0,RED
034504804,45,48,4,0.0,GREEN
032807104,28,71,4,0.0,GREEN
032904500,29,45,0,100.0,RED
032706000,27,60,0,100.0,RED
031901300,19,13,0,100.0,RED
031002500,10,25,0,100.0,RED
032601400,26,14,0,100.0,RED
032304304,23,43,4,100.0,RED
031804600,18,46,0,100.0,RED
031903700,19,37,0,100.0,RED
032605700,26,57,0,100.0,RED
032703403,27,34,3,0.0,GREEN
034504901,45,49,1,0.0,GREEN
032305700,23,57,0,100.0,RED
034504902,45,49,2,0.0,GREEN
032701800,27,18,0,100.0,RED
034504903,45,49,3,0.0,GREEN
032003200,20,32,0,100.0,RED
032806804,28,68,4,100.0,RED
034505002,45,50,2,100.0,RED
032305800,23,58,0,100.0,RED
032305901,23,59,1,100.0,RED
032204400,22,44,0,100.0,RED
032006905,20,69,5,100.0,RED
034506400,45,64,0,0.0,GREEN
032006800,20,68,0,100.0,RED
032204500,22,45,0,100.0,RED
030201400,02,14,0,0.0,GREEN
032306100,23,61,0,100.0,RED
032205800,22,58,0,100.0,RED
030202400,02,24,0,0.0,GREEN
032105300,21,53,0,100.0,RED
032304300,23,43,0,100.0,RED
030702500,07,25,0,0.0,GREEN
030702504,07,25,4,0.0,GREEN
032404800,24,48,0,100.0,RED
030302100,03,21,0,200.0,RED
032203100,22,31,0,100.0,RED
032505904,25,59,4,100.0,RED
034507300,45,73,0,0.0,GREEN
032305103,23,51,3,100.0,RED
032407000,24,70,0,100.0,RED
032604704,26,47,4,100.0,RED
031203801,12,38,1,0.0,GREEN
032404600,24,46,0,100.0,RED
030804403,08,44,3,0.0,GREEN
032404200,24,42,0,100.0,RED
032203600,22,36,0,100.0,RED
032304800,23,48,0,100.0,RED
031005604,10,56,4,0.0,GREEN
032204300,22,43,0,100.0,RED
031606600,16,66,0,100.0,RED
031006001,10,60,1,0.0,GREEN
031005804,10,58,4,0.0,GREEN
031205003,12,50,3,0.0,GREEN
032702300,27,23,0,100.0,RED
032702403,27,24,3,100.0,RED
030502400,05,24,0,100.0,RED
032303200,23,32,0,100.0,RED
031203301,12,33,1,0.0,GREEN
031203504,12,35,4,0.0,GREEN
031202702,12,27,2,0.0,GREEN
032303900,23,39,0,100.0,RED
031203101,12,31,1,0.0,GREEN
031405300,14,53,0,100.0,RED
032305504,23,55,4,100.0,RED
032701300,27,13,0,100.0,RED
032305400,23,54,0,100.0,RED
030403001,04,30,1,0.0,GREEN
030301901,03,19,1,0.0,GREEN
031103201,11,32,1,0.0,GREEN
031202703,12,27,3,0.0,GREEN
032304500,23,45,0,100.0,RED
030503006,05,30,6,0.0,GREEN
030801106,08,11,6,0.0,GREEN
032805800,28,58,0,100.0,RED
032806003,28,60,3,100.0,RED
032603300,26,33,0,100.0,RED
032503700,25,37,0,100.0,RED
031202405,12,24,5,0.0,GREEN
031201601,12,16,1,0.0,GREEN
032105206,21,52,6,100.0,RED
032701600,27,16,0,0.0,GREEN
032105504,21,55,4,0.0,GREEN
031606001,16,60,1,0.0,GREEN
032504500,25,45,0,100.0,RED
030502805,05,28,5,0.0,GREEN
032703000,27,30,0,100.0,RED
030803300,08,33,0,0.0,GREEN
030803302,08,33,2,0.0,GREEN
032704100,27,41,0,100.0,RED
031003801,10,38,1,0.0,GREEN
032804800,28,48,0,100.0,RED
030804900,08,49,0,100.0,RED
030804901,08,49,1,0.0,GREEN
030804505,08,45,5,0.0,GREEN
032704905,27,49,5,0.0,GREEN
032801300,28,13,0,0.0,GREEN
031003705,10,37,5,0.0,GREEN
032505200,25,52,0,100.0,RED
030705100,07,51,0,200.0,RED
030705105,07,51,5,0.0,GREEN
032305200,23,52,0,100.0,RED
032605600,26,56,0,100.0,RED
030600101,06,1,1,0.0,GREEN
030701001,07,10,1,0.0,GREEN
032502400,25,24,0,100.0,RED
030605601,06,56,1,0.0,GREEN
030605604,06,56,4,0.0,GREEN
030605904,06,59,4,0.0,GREEN
032504905,25,49,5,0.0,GREEN
032906000,29,60,0,100.0,RED
030605600,06,56,0,100.0,RED
030703600,07,36,0,0.0,GREEN
030701801,07,18,1,0.0,GREEN
030801704,08,17,4,0.0,GREEN
031302900,13,29,0,100.0,RED
031001700,10,17,0,0.0,GREEN
030201602,02,16,2,0.0,GREEN
032607102,26,71,2,100.0,RED
030202403,02,24,3,0.0,GREEN
031300700,13,7,0,0.0,GREEN
030201205,02,12,5,0.0,GREEN
031205200,12,52,0,0.0,GREEN
031105503,11,55,3,0.0,GREEN
030706004,07,60,4,0.0,GREEN
034505101,45,51,1,100.0,RED
031305204,13,52,4,0.0,GREEN
031305105,13,51,5,0.0,GREEN
031004600,10,46,0,200.0,RED
