PLATZ_ID,HALLE,REGAL,FACH,EBENE,ANZ_PICKS,CUMULATIVE_%,ABC_CALC,ABC_KLASSE,ARTIKELNR,ARTBEZ1
034501200,4504.0,45,12,0,497.0,66.4721741665443,A,A,,
030300801,303.0,03,8,1,496.0,66.57771933072449,A,C,,
030500900,503.0,05,9,0,496.0,66.68326449490468,A,C,,
030402800,409.0,04,28,0,495.0,66.78859686641515,A,C,,
030301901,306.0,03,19,1,492.0,66.89329085991645,A,C,000000000000165679,SchnellBef MPR S+ M10 41/21-124 vz
030501600,505.0,05,16,0,489.0,66.99734647540862,A,C,,
030203200,211.0,02,32,0,487.0,67.10097650556133,A,C,000000000000174064,LS Typ C Esw M8/M10 NW160 vz
034603100,4610.0,46,31,0,482.0,67.20354257236548,A,A,,
030203000,210.0,02,30,0,480.0,67.30568305383015,A,C,,
030402701,409.0,04,27,1,478.0,67.40739794995541,A,C,,
030301701,306.0,03,17,1,477.0,67.50890005341095,A,C,000000000000166633,"BetonSchr+ 6KtK 7,5x50 KlSt15 vz"
030201700,206.0,02,17,0,476.0,67.61018936419678,A,C,,
034602300,4608.0,46,23,0,475.0,67.71126588231289,A,A,,
030200700,202.0,02,7,0,468.0,67.81085285174096,A,C,,
030403300,411.0,04,33,0,468.0,67.91043982116905,A,C,000000000000156712,SchiK MPC 500 27/18 vz
030102700,1009.0,01,27,0,468.0,68.01002679059712,A,C,000000000000129921,SysS MPC 2000 40/60 vz-send
030202000,207.0,02,20,0,467.0,68.10940096735547,A,C,,
030300501,302.0,03,5,1,467.0,68.20877514411383,A,C,,
030302501,308.0,03,25,1,467.0,68.30814932087219,A,C,,
030500600,502.0,05,6,0,466.0,68.40731070496084,A,C,,
034603500,4612.0,46,35,0,466.0,68.50647208904948,A,A,,
034501600,4505.0,45,16,0,465.0,68.6054206804684,A,A,,
034407300,4424.0,44,73,0,464.0,68.7041564792176,A,C,,
030201500,205.0,02,15,0,464.0,68.8028922779668,A,C,,
030403200,411.0,04,32,0,461.0,68.90098969870687,A,C,,
030203300,211.0,02,33,0,461.0,68.99908711944691,A,C,,
030403301,411.0,04,33,1,461.0,69.09718454018696,A,C,000000000000118777,MonWinkel 45° 38/40-40/120 fvz
034600900,4603.0,46,9,0,460.0,69.19506916825729,A,A,,
030400700,402.0,04,7,0,460.0,69.29295379632762,A,C,000000000000163109,SchiVbd MPC/MPR 38/24-40/80 41 vz
034602700,4609.0,46,27,0,460.0,69.39083842439796,A,A,,
030402400,408.0,04,24,0,459.0,69.48851025979857,A,C,,
030502900,510.0,05,29,0,459.0,69.58618209519919,A,C,000000000000116546,LuftKDplW mDämmteil Typ2 fM10 vz
034501300,4504.0,45,13,0,458.0,69.68364113793008,A,A,,
030400601,402.0,04,6,1,457.0,69.78088738799127,A,C,,
